Elden Ring|5|1784461467|OK
Subnautica|100|1784847252|OK
PrismLauncher|40|1784919077|OK
Minecraft|6420|1784919164|WARN
YouTube|2240|1784987944|WARN
Browser|3610|1784989888|WARN
